local,E GF local,E GF visita,visita
Atlas,1.7666666666666666,1.226851851851852,Gallos Blancos
Puebla,1.1777777777777778,1.0305555555555557,Pumas
Mazatlán Fútbol Club,0.49074074074074076,0.736111111111111,Chivas
América,0.5888888888888889,0.9422222222222223,Bravos
Rayados,2.3555555555555556,1.5458333333333334,León FC
Santos Laguna,1.8549999999999995,1.8549999999999995,Cruz Azul
Toluca,1.226851851851852,1.0305555555555557,Xolos
Atlético San Luis,0.44166666666666665,0.5888888888888889,Necaxa
Pachuca,0.49074074074074076,0.8833333333333333,Tigres
