local,P ganar local,P empate,P ganar visita,visita
Atlas,0.49104001554164156,0.2338350712599745,0.26392983248248775,Gallos Blancos
Puebla,0.3907842234035393,0.28961963039064387,0.31753710628495435,Pumas
Mazatlán Fútbol Club,0.21839477355363116,0.4090932459260897,0.3723811384512447,Chivas
América,0.22084639896797895,0.35402035890051275,0.4246617331392314,Bravos
Rayados,0.5241791587440988,0.19499938408975304,0.24279160102908495,León FC
Santos Laguna,0.3803678873854331,0.215643862934474,0.3803678873854331,Cruz Azul
Toluca,0.4045768477186762,0.2850702344559402,0.30798514300707386,Xolos
Atlético San Luis,0.22302111789672951,0.45582358745422336,0.32111316138169926,Necaxa
Pachuca,0.19452371170655566,0.3752554767251383,0.42989665884067946,Tigres
